G,1.15,-0.35242,0.11,-0.08,4.41
G,1.14,-0.35242,0.11,-0.08,4.41
G,1.15,-0.35562,0.11,-0.08,4.45
G,1.15,-0.35162,0.11,-0.08,4.4
G,1.24,-0.26264,0.06,-0.06,4.38
G,1.29,-0.21991,0.04,-0.05,4.4
G,1.32,-0.21841,0.02,-0.05,4.37
G,1.32,-0.12988,0.01,-0.03,4.33
G,1.31,-0.12958,-0,-0.03,4.32
G,1.28,-0.13048,-0,-0.03,4.35
G,1.26,-0.085794,-0.01,-0.02,4.29
G,1.23,-0.086194,-0.01,-0.02,4.31
G,1.21,-0.042499,-0.02,-0.01,4.25
G,1.2,-0.042499,-0.02,-0.01,4.25
G,1.16,0,-0.03,0,4.16
G,1.13,0.040999,-0.03,0.01,4.1
G,1.11,0.041299,-0.03,0.01,4.13
G,1.1,0.082195,-0.04,0.02,4.11
G,1.12,0.12178,-0.04,0.03,4.06
G,1.15,0.12058,-0.05,0.03,4.02
G,1.2,0.12058,-0.06,0.03,4.02
G,1.2,0.15876,-0.06,0.04,3.97
G,1.23,0.16116,-0.06,0.04,4.03
G,1.26,0.15916,-0.05,0.04,3.98
G,1.26,0.16116,-0.03,0.04,4.03
G,1.25,0.12088,-0.01,0.03,4.03
G,1.25,0.11848,-0,0.03,3.95
G,1.23,0.15476,0,0.04,3.87
G,1.22,0.15636,0.01,0.04,3.91
G,1.19,0.15596,0.02,0.04,3.9
G,1.18,0.15276,0.02,0.04,3.82
G,1.17,0.18792,0.02,0.05,3.76
G,1.15,0.18942,0.04,0.05,3.79
G,1.13,0.22367,0.01,0.06,3.73
G,1.13,0.22007,0.02,0.06,3.67
G,1.17,0.21767,0.07,0.06,3.63
G,1.22,0.25459,0.11,0.07,3.64
G,1.27,0.25529,0.12,0.07,3.65
G,1.33,0.25669,0.07,0.07,3.67
G,1.36,0.29489,0.08,0.08,3.69
G,1.39,0.32626,0.09,0.09,3.63
G,1.41,0.32446,0.14,0.09,3.61
G,1.38,0.38971,0.13,0.11,3.55
G,1.34,0.4178,0.08,0.12,3.49
G,1.28,0.44853,0.02,0.13,3.46
G,1.23,0.5066,-0.02,0.15,3.39
G,1.18,0.50958,-0.06,0.15,3.41
G,1.12,0.54009,-0.1,0.16,3.39
G,1.09,0.53212,-0.1,0.16,3.34
G,1.1,0.52416,-0.09,0.16,3.29
G,1.14,0.5583,-0.07,0.17,3.3
G,1.16,0.52256,-0.04,0.16,3.28
G,1.25,0.55323,-0.09,0.17,3.27
G,1.31,0.56169,-0.12,0.17,3.32
G,1.34,0.5908,-0.15,0.18,3.3
G,1.36,0.59975,-0.18,0.18,3.35
G,1.36,0.6289,-0.19,0.19,3.33
G,1.35,0.59617,-0.15,0.18,3.33
G,1.3,0.58722,-0.12,0.18,3.28
G,1.26,0.54646,-0.08,0.17,3.23
G,1.22,0.55153,-0.05,0.17,3.26
G,1.18,0.54815,-0.02,0.17,3.24
G,1.14,0.50504,0,0.16,3.17
G,1.11,0.49707,0.02,0.16,3.12
G,1.07,0.46326,0.05,0.15,3.1
G,1.09,0.42561,0.06,0.14,3.05
G,1.12,0.3902,0.08,0.13,3.01
G,1.17,0.36153,0.09,0.12,3.02
G,1.22,0.33812,0.08,0.11,3.08
G,1.22,0.21333,0.12,0.07,3.05
G,1.28,0.090586,0.14,0.03,3.02
G,1.34,0.030399,0.09,0.01,3.04
G,1.35,-0.030599,0.12,-0.01,3.06
G,1.35,-0.15194,0.14,-0.05,3.04
G,1.34,-0.17929,0.15,-0.06,2.99
G,1.31,-0.17869,0.15,-0.06,2.98
G,1.27,-0.17809,0.16,-0.06,2.97
G,1.23,-0.17989,0.16,-0.06,3
G,1.19,-0.20563,0.16,-0.07,2.94
G,1.15,-0.1727,0.17,-0.06,2.88
G,1.12,-0.1715,0.17,-0.06,2.86
G,1.13,-0.1691,0.12,-0.06,2.82
G,1.18,-0.13894,0.07,-0.05,2.78
G,1.23,-0.11077,0.02,-0.04,2.77
G,1.26,-0.10957,-0.01,-0.04,2.74
G,1.3,-0.082488,-0.03,-0.03,2.75
G,1.33,-0.084287,-0.04,-0.03,2.81
G,1.37,-0.084587,-0.04,-0.03,2.82
G,1.39,-0.083687,-0.04,-0.03,2.79
G,1.4,-0.10957,-0.04,-0.04,2.74
G,1.39,-0.082488,-0.03,-0.03,2.75
G,1.37,-0.083687,-0.03,-0.03,2.79
G,1.44,-0.055996,-0.07,-0.02,2.8
G,1.5,-0.028,-0.1,-0.01,2.8
G,1.52,-0.0282,-0.13,-0.01,2.82
G,1.53,-0.0279,-0.13,-0.01,2.79
G,1.53,-0,-0.15,-0,2.75
G,1.44,-0,-0.13,-0,2.73
G,1.43,0,-0.14,0,2.77
G,1.39,-0,-0.11,-0,2.72
G,1.37,-0.0267,-0.09,-0.01,2.67
G,1.36,-0.0267,-0.07,-0.01,2.67
G,1.37,-0.0272,-0.05,-0.01,2.72
G,1.35,-0.0269,-0.03,-0.01,2.69
G,1.29,-0.0263,-0.01,-0.01,2.63
G,1.24,-0.052197,0.05,-0.02,2.61
